# x_m,y_m,w_tr_right_m,w_tr_left_m
12.2311,13.5500,0.4746,0.4746
12.2811,13.6000,0.5360,0.5360
12.2811,13.6500,0.5514,0.5514
12.2811,13.7000,0.5692,0.5692
12.2811,13.7500,0.5894,0.5894
12.2811,13.8000,0.5841,0.5841
12.2811,13.8500,0.5720,0.5720
12.2811,13.9000,0.5624,0.5624
12.2811,13.9500,0.5555,0.5555
12.2811,14.0000,0.5514,0.5514
12.2811,14.0500,0.5500,0.5500
12.2311,14.1000,0.6000,0.6000
12.2311,14.1500,0.6000,0.6000
12.2311,14.2000,0.6000,0.6000
12.2311,14.2500,0.6000,0.6000
12.2311,14.3000,0.6000,0.6000
12.2311,14.3500,0.6000,0.6000
12.1811,14.4000,0.6500,0.6500
12.1811,14.4500,0.6462,0.6462
12.1311,14.5000,0.6500,0.6500
12.0811,14.5000,0.6500,0.6500
12.0311,14.5000,0.6500,0.6500
11.9811,14.5000,0.6500,0.6500
11.9311,14.5000,0.6500,0.6500
11.8811,14.5000,0.6500,0.6500
11.8311,14.4500,0.6362,0.6362
11.7811,14.4500,0.6118,0.6118
11.7311,14.4500,0.5894,0.5894
11.6811,14.4000,0.5232,0.5232
11.6311,14.4000,0.5044,0.5044
11.5811,14.4000,0.4882,0.4882
11.5311,14.4000,0.4746,0.4746
11.4811,14.3500,0.4149,0.4149
11.4311,14.3500,0.4066,0.4066
11.3811,14.3500,0.4017,0.4017
11.3311,14.3000,0.3500,0.3500
11.2811,14.3000,0.3500,0.3500
11.2311,14.3000,0.3518,0.3518
11.1811,14.2500,0.3076,0.3076
11.1311,14.2500,0.3171,0.3171
11.0811,14.2500,0.3301,0.3301
11.0311,14.2000,0.3000,0.3000
10.9811,14.2000,0.3208,0.3208
10.9311,14.2000,0.3446,0.3446
10.8811,14.2000,0.3571,0.3571
10.8311,14.1500,0.3446,0.3446
10.7811,14.1000,0.3301,0.3301
10.7311,14.0500,0.3227,0.3227
10.6811,14.0500,0.3227,0.3227
10.6311,14.0000,0.3227,0.3227
10.5811,13.9500,0.3227,0.3227
10.5311,13.9000,0.3227,0.3227
10.4811,13.8500,0.3227,0.3227
10.4311,13.8000,0.3208,0.3208
10.3811,13.7500,0.3019,0.3019
10.3311,13.7000,0.2903,0.2903
10.2811,13.6500,0.2864,0.2864
10.2311,13.6000,0.2864,0.2864
10.1811,13.5500,0.2864,0.2864
10.1311,13.5000,0.2864,0.2864
10.0811,13.4500,0.2864,0.2864
10.0311,13.4000,0.2864,0.2864
9.9811,13.3500,0.2864,0.2864
9.9311,13.3000,0.2864,0.2864
9.8811,13.2500,0.2864,0.2864
9.8311,13.2500,0.2903,0.2903
9.7811,13.2000,0.2903,0.2903
9.7311,13.1500,0.2864,0.2864
9.6811,13.1000,0.2903,0.2903
9.6311,13.0500,0.2864,0.2864
9.5811,13.0000,0.2864,0.2864
9.5311,12.9500,0.2864,0.2864
9.4811,12.9500,0.2903,0.2903
9.4311,12.9000,0.3019,0.3019
9.3811,12.8500,0.3208,0.3208
9.3311,12.8500,0.3000,0.3000
9.2811,12.8000,0.3301,0.3301
9.2311,12.7500,0.3571,0.3571
9.1811,12.7000,0.3571,0.3571
9.1311,12.7000,0.3571,0.3571
9.0811,12.6500,0.3606,0.3606
9.0311,12.6000,0.3711,0.3711
8.9811,12.5500,0.3882,0.3882
8.9311,12.5000,0.3711,0.3711
8.8811,12.4500,0.3606,0.3606
8.8311,12.4000,0.3571,0.3571
8.7811,12.4000,0.3571,0.3571
8.7311,12.3500,0.3606,0.3606
8.6811,12.3000,0.3711,0.3711
8.6311,12.2500,0.3882,0.3882
8.5811,12.2000,0.3933,0.3933
8.5311,12.1500,0.3933,0.3933
8.4811,12.1000,0.3933,0.3933
8.4311,12.0500,0.3933,0.3933
8.3811,12.0000,0.3882,0.3882
8.3311,11.9500,0.3711,0.3711
8.2811,11.9000,0.3606,0.3606
8.2311,11.9000,0.3571,0.3571
8.1811,11.8500,0.3571,0.3571
8.1311,11.8000,0.3446,0.3446
8.0811,11.7500,0.3301,0.3301
8.0311,11.7000,0.3227,0.3227
7.9811,11.6500,0.3227,0.3227
7.9311,11.6000,0.3227,0.3227
7.8811,11.5500,0.3227,0.3227
7.8311,11.5000,0.3227,0.3227
7.7811,11.4500,0.3227,0.3227
7.7311,11.4000,0.3227,0.3227
7.6811,11.3500,0.3227,0.3227
7.6311,11.3000,0.3227,0.3227
7.5811,11.2500,0.3208,0.3208
7.5311,11.2000,0.3019,0.3019
7.4811,11.1500,0.2903,0.2903
7.4311,11.1000,0.2864,0.2864
7.3811,11.0500,0.2903,0.2903
7.3311,11.0000,0.2864,0.2864
7.2811,10.9500,0.2903,0.2903
7.2311,10.9500,0.2903,0.2903
7.1811,10.9000,0.3019,0.3019
7.1311,10.8500,0.3208,0.3208
7.0811,10.8000,0.3227,0.3227
7.0311,10.7500,0.3227,0.3227
6.9811,10.7000,0.3227,0.3227
6.9311,10.6500,0.3208,0.3208
6.8811,10.6000,0.3019,0.3019
6.8311,10.5500,0.2903,0.2903
6.7811,10.5000,0.2864,0.2864
6.7311,10.5000,0.2864,0.2864
6.6811,10.4500,0.2864,0.2864
6.6311,10.4000,0.2864,0.2864
6.5811,10.3500,0.2864,0.2864
6.5311,10.3000,0.2903,0.2903
6.4811,10.2500,0.2864,0.2864
6.4311,10.2000,0.2903,0.2903
6.3811,10.1500,0.3019,0.3019
6.3311,10.1000,0.3208,0.3208
6.2811,10.0500,0.3208,0.3208
6.2311,10.0000,0.3019,0.3019
6.1811,10.0000,0.3019,0.3019
6.1311,9.9500,0.3208,0.3208
6.0811,9.9000,0.3227,0.3227
6.0311,9.8500,0.3227,0.3227
5.9811,9.8000,0.3227,0.3227
5.9311,9.7500,0.3227,0.3227
5.8811,9.7000,0.3227,0.3227
5.8311,9.6500,0.3227,0.3227
5.7811,9.6000,0.3227,0.3227
5.7311,9.5500,0.3227,0.3227
5.6811,9.5000,0.3227,0.3227
5.6311,9.4500,0.3227,0.3227
5.5811,9.4000,0.3227,0.3227
5.5311,9.3500,0.3227,0.3227
5.4811,9.3000,0.3301,0.3301
5.4311,9.2500,0.3446,0.3446
5.3811,9.2000,0.3571,0.3571
5.3311,9.1500,0.3571,0.3571
5.2811,9.1000,0.3571,0.3571
5.2311,9.0500,0.3571,0.3571
5.1811,9.0000,0.3571,0.3571
5.1311,8.9500,0.3571,0.3571
5.0811,8.9000,0.3571,0.3571
